t (s); p (bar); mp_in (kg/s); mp_out (kg/s)
0.000000e+00; 1.000000e+00; 0.000000e+00; 0.000000e+00
1.000000e-02; 1.100000e+00; 1.000000e+00; 0.000000e+00
2.000000e-02; 1.200000e+00; 1.000000e+00; 0.000000e+00
3.000000e-02; 1.300000e+00; 1.000000e+00; 0.000000e+00
4.000000e-02; 1.400000e+00; 1.000000e+00; 0.000000e+00
5.000000e-02; 1.500000e+00; 1.000000e+00; 0.000000e+00
6.000000e-02; 1.600000e+00; 1.000000e+00; 0.000000e+00
7.000000e-02; 1.700000e+00; 1.000000e+00; 0.000000e+00
8.000000e-02; 1.800000e+00; 1.000000e+00; 0.000000e+00
9.000000e-02; 1.900000e+00; 1.000000e+00; 0.000000e+00
1.000000e-01; 2.000000e+00; 1.000000e+00; 0.000000e+00
